Green,Count,Min,Max,Mean,Mean2
0,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
2,0,0,0,0.0,0.0
3,0,0,0,0.0,0.0
4,0,0,0,0.0,0.0
5,0,0,0,0.0,0.0
6,0,0,0,0.0,0.0
7,0,0,0,0.0,0.0
8,1,17,17,17.0,289.0
9,7,15,21,17.857142857142858,322.42857142857144
10,7,15,22,19.0,366.7142857142857
11,11,15,22,18.272727272727273,338.27272727272725
12,15,16,34,20.666666666666668,444.93333333333334
13,17,15,30,21.235294117647058,463.0
14,20,16,31,22.2,503.8
15,28,17,35,24.571428571428573,631.8571428571429
16,38,16,38,26.07894736842105,712.4473684210526
17,42,19,39,27.166666666666668,768.3571428571429
18,48,18,41,28.3125,837.1458333333334
19,54,18,41,28.74074074074074,862.6296296296297
20,59,19,42,29.915254237288135,926.0847457627119
21,74,20,44,30.7027027027027,978.5405405405405
22,77,21,44,32.142857142857146,1064.844155844156
23,77,22,43,32.064935064935064,1059.077922077922
24,84,22,44,32.654761904761905,1097.75
25,89,23,47,33.359550561797754,1144.7977528089887
26,89,24,49,34.73033707865169,1240.5955056179776
27,97,25,49,35.58762886597938,1302.5567010309278
28,100,26,50,36.5,1367.7
29,115,27,52,37.63478260869565,1454.5217391304348
30,114,28,53,38.526315789473685,1521.3684210526317
31,118,29,53,39.440677966101696,1592.1186440677966
32,116,30,55,40.310344827586206,1662.5862068965516
33,129,30,58,41.775193798449614,1786.7829457364342
34,129,31,57,42.63565891472868,1858.4496124031007
35,126,33,58,43.285714285714285,1910.873015873016
36,128,33,58,44.546875,2024.90625
37,135,34,62,45.71111111111111,2134.259259259259
38,140,35,60,46.55714285714286,2208.5285714285715
39,144,36,64,47.5625,2304.1875
40,146,37,65,48.273972602739725,2372.7123287671234
41,145,38,64,49.3448275862069,2475.193103448276
42,155,39,65,50.251612903225805,2565.206451612903
43,155,40,66,51.380645161290325,2680.0129032258064
44,159,41,67,52.35220125786164,2781.7987421383646
45,156,42,67,53.05769230769231,2855.275641025641
46,159,43,69,53.9685534591195,2953.251572327044
47,167,44,72,55.1497005988024,3086.0718562874254
48,166,45,71,55.95783132530121,3172.777108433735
49,164,46,74,56.8109756097561,3266.237804878049
50,167,47,73,57.9940119760479,3405.0958083832334
51,175,47,76,58.794285714285714,3499.7885714285712
52,171,49,75,59.62573099415204,3595.3801169590643
53,168,49,78,60.32142857142857,3678.714285714286
54,169,51,76,61.798816568047336,3858.8639053254437
55,166,51,78,62.6144578313253,3961.9638554216867
56,171,52,81,63.72514619883041,4106.730994152047
57,171,53,80,64.3625730994152,4182.549707602339
58,164,54,83,65.65853658536585,4353.09756097561
59,175,55,82,66.57714285714286,4476.634285714285
60,174,56,83,67.5,4599.258620689655
61,176,57,84,68.1534090909091,4686.335227272727
62,180,58,87,69.71666666666667,4906.983333333334
63,174,59,86,70.52298850574712,5014.913793103448
64,170,60,87,71.71764705882353,5184.564705882353
65,168,61,86,72.17857142857143,5248.25
